uncertaincheck,casrn,name,average_mass,endpoint,new_rfc,source,subsource,type,duration,species,dxw,daf,pod_hec,interspecies,intraspecies,subtochronic,loaectonoaec,allufs,toxval_numeric,toxval_units,value_ppb,toxicological_effect,study_type,source_url,subsource_url,entry_modified_br,additional_notes_br,long_ref,
,107-06-2,"1,2-Dichloroethane",99,endocrine,347,ATSDR Tox Profile,Cheever et al. 1990,NOAEC,chronic,ratmouse,0,1,10417,3,10,1,1,30,,.,50000,.,.,.,.,,.,.,
,107-06-2,"1,2-Dichloroethane",99,hematological,347,ATSDR Tox Profile,Cheever et al. 1990,NOAEC,chronic,ratmouse,0,1,10417,3,10,1,1,30,,.,50000,.,.,.,.,,.,.,
,107-06-2,"1,2-Dichloroethane",99,hepatic,99,Cal OEHHA,Cal OEHHA Export,REL,chronic,human,,,,,,,,,0,mg/m3,99,Alimentary system (liver),,https://oehha.ca.gov/chemicals,https://oehha.ca.gov/chemicals/12-dichloroethane,,,,
,107-06-2,"1,2-Dichloroethane",99,neurological,2,PPRTV (CPHEA),PPRTV Summary,RfCp,chronic,human,,,,,,,,,0,mg/m3,2,neurobehavioral impairment,Toxicity Value,https://www.epa.gov/pprtv/basic-information-about-provisional-peer-reviewed-toxicity-values-pprtvs,https://cfpub.epa.gov/ncea/pprtv/chemicalLanding.cfm?pprtv_sub_id=1682,,.,.,
,107-06-2,"1,2-Dichloroethane",99,systemic,347,ATSDR Tox Profile,Cheever et al. 1990,NOAEC,chronic,ratmouse,0,1,10417,3,10,1,1,30,,.,50000,.,.,.,.,,.,.,
,108-05-4,Vinyl acetate,86,developmental,9,ECHA IUCLID,Developmental Toxicity Teratogenicity,LOAEC,.,rat,0,0,26786,3,10,10,10,3000,3521,mg/m3,1000005,fetus: fetal/pup body weight changes,developmental,https://echa.europa.eu/,https://echa.europa.eu/registration-dossier/-/registered-dossier/15530/7/9/3?documentUUID=07a4573b-fdbe-4e07-a241-5c26d0280c8e,,.,.,
,108-05-4,Vinyl acetate,86,neurological,57,IRIS,.,RfC,chronic,human,,,,,,,,,,.,57,.,.,.,.,,.,.,
,108-05-4,Vinyl acetate,86,respiratory,57,IRIS,IRIS Summary,RfC,chronic,human,,,,,,,,,0,mg/m3,57,Nasal epithelial lesions in male/female rats,Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=512,,DAF=0.15 https://iris.epa.gov/static/pdfs/0512_summary.pdf,.,
,108-05-4,Vinyl acetate,86,systemic,178,ATSDR Tox Profile,Hazleton 1980,NOAEC,chronic,ratmouse,0,0,5352,3,10,1,1,30,,.,199800,.,.,.,.,,.,.,
,108-10-1,4-Methyl-2-pentanone,100,developmental,732,IRIS,IRIS Summary,RfC,chronic,human,,,,,,,,,3,mg/m3,732,"Reduced fetal body weight, skeletal variations, and increased fetal death, and skeletal variations in male/female mice/rats",Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=173,,.,.,
,108-10-1,4-Methyl-2-pentanone,100,musculoskeletal,732,IRIS,IRIS Summary,RfC,chronic,human,,,,,,,,,3,mg/m3,732,"Reduced fetal body weight, skeletal variations, and increased fetal death, and skeletal variations in male/female mice/rats",Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=173,,.,.,
,108-10-1,4-Methyl-2-pentanone,100,reproductive,595,ECHA IUCLID,Developmental Toxicity Teratogenicity,NOAEC,.,rat,0,1,178572,3,10,10,1,300,4097,mg/m3,1000004,maternal: body weight and weight gain|maternal: clinical signs|maternal: organ weights and organ / body weight ratios,reproduction developmental,https://echa.europa.eu/,https://echa.europa.eu/registration-dossier/-/registered-dossier/7288/7/9/3?documentUUID=54a84e6a-f754-4f3f-ba7a-916805948a2e,,.,.,
,108-38-3,m-xylene,106,developmental,367,CompTox,ECHA POC,BMCL,.,rodent,0,1,110000,3,10,10,1,300,,.,616000,.,.,.,.,,.,.,
,108-38-3,m-xylene,106,neurological,417,CompTox,ECHA POC,NOAEC,chronic,rodent,0,1,12500,3,10,1,1,30,,.,50000,.,.,.,.,,.,.,
,108-38-3,m-xylene,106,systemic,482,CompTox,ECHA IUCLID,NOAEC,.,rodent,0,1,144643,3,10,10,1,300,,.,810000,.,.,.,.,,.,.,
,108-88-3,Toluene,92,cardiovascular,2400,ATSDR Tox Profile,Gericke et al. 2001,NOAEC,chronic,human,,,,1,10,1,1,10,,.,24000,.,.,.,.,,.,.,
,108-88-3,Toluene,92,developmental,238,ToxRefDB,EPA ORD,NOAEC,.,ratmouse,0,1,71428,3,10,10,1,300,,.,400000,.,.,.,.,,.,.,
,108-88-3,Toluene,92,endocrine,2,ATSDR Tox Profile,Poon et al. 1994,LOAEC,subchronic,ratmouse,0,1,5357,3,10,10,10,3000,,.,30000,.,.,.,.,,.,.,
,108-88-3,Toluene,92,hematological,410,ATSDR Tox Profile,Yin et al. 1987,LOAEC,chronic,human,,,,1,10,1,10,100,,.,41000,.,.,.,.,,.,.,
,108-88-3,Toluene,92,hepatic,2400,ATSDR Tox Profile,Gericke et al. 2001,NOAEC,chronic,human,,,,1,10,1,1,10,,.,24000,.,.,.,.,,.,.,
,108-88-3,Toluene,92,immunological,410,ATSDR Tox Profile,Yin et al. 1987,LOAEC,chronic,human,,,,1,10,1,10,100,,.,41000,.,.,.,.,,.,.,
,108-88-3,Toluene,92,mortality,357,ECHA IUCLID,Toxicity Reproduction,NOAEC,.,rat,0,1,107136,3,10,10,1,300,2261,mg/m3,599966,F1: mortality,reproduction developmental,https://echa.europa.eu/,https://echa.europa.eu/registration-dossier/-/registered-dossier/14991/7/9/2?documentUUID=de39c08d-119d-40f4-ba1d-8b7afb8cc83e,,.,.,
,108-88-3,Toluene,92,musculoskeletal,25,ATSDR Tox Profile,Atay et al. 2005,LOAEC,subchronic,ratmouse,0,1,75000,3,10,10,10,3000,,.,300000,.,.,.,.,,.,.,
,108-88-3,Toluene,92,neurological,1000,ATSDR,ATSDR MRLs 2025,MRL,chronic,human,,,,,,,,,1,ppm,1000,,,,,,Final,,
,108-88-3,Toluene,92,ocular,111,Cal OEHHA,Cal OEHHA Export,REL,chronic,human,,,,,,,,,0,mg/m3,111,Eyes,,https://oehha.ca.gov/chemicals,https://oehha.ca.gov/chemicals/toluene,,,,
,108-88-3,Toluene,92,renal,2400,ATSDR Tox Profile,Gericke et al. 2001,NOAEC,chronic,human,,,,1,10,1,1,10,,.,24000,.,.,.,.,,.,.,
,108-88-3,Toluene,92,reproductive,2400,ATSDR Tox Profile,Gericke et al. 2001,NOAEC,chronic,human,,,,1,10,1,1,10,,.,24000,.,.,.,.,,.,.,
,108-88-3,Toluene,92,respiratory,1860,ATSDR Tox Profile,Deschamps et al. 2001,LOAEC,chronic,human,,,,1,10,1,10,100,,.,186000,.,.,.,.,,.,.,
,108-88-3,Toluene,92,systemic,179,ATSDR Tox Profile,Poon et al. 1994,NOAEC,subchronic,ratmouse,0,1,53571,3,10,10,1,300,,.,300000,.,.,.,.,,.,.,
